Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -99.5270    71.0522     6.5113    -0.5307    -0.7867     0.3155    -0.0452     0.3980     0.9163    -0.8464     0.4720    -0.2468
 -100.0079    70.3487     6.8379    -0.5170    -0.7542     0.4049     0.2783     0.2992     0.9127    -0.8094     0.5846     0.0552
 -100.4591    69.6783     7.2538    -0.4701    -0.7202     0.5103     0.4883     0.2694     0.8301    -0.7352     0.6394     0.2251
 -100.8600    69.0316     7.7686    -0.4002    -0.6878     0.6056     0.6521     0.2507     0.7155    -0.6440     0.6813     0.3482
 -101.2014    68.3965     8.3727    -0.3271    -0.6642     0.6722     0.7965     0.1890     0.5743    -0.5085     0.7233     0.4672
 -101.4873    67.7611     9.0396    -0.2698    -0.6562     0.7047     0.9416    -0.0266     0.3357    -0.2016     0.7541     0.6250
 -101.7341    67.1162     9.7320    -0.2402    -0.6654     0.7068     0.5510    -0.6929    -0.4651     0.7992     0.2777     0.5330
 -101.9668    66.4575    10.4116    -0.2428    -0.6879     0.6840    -0.3975    -0.5726    -0.7170     0.8849    -0.4460    -0.1345
 -102.2128    65.7858    11.0481    -0.2760    -0.7146     0.6427    -0.6486    -0.3550    -0.6732     0.7093    -0.6027    -0.3655
 -102.4957    65.1068    11.6266    -0.3313    -0.7342     0.5926    -0.7647    -0.1590    -0.6245     0.5528    -0.6600    -0.5087
 -102.8288    64.4290    12.1495    -0.3938    -0.7383     0.5476    -0.8491     0.0640    -0.5244     0.3521    -0.6715    -0.6520
 -103.2128    63.7613    12.6346    -0.4467    -0.7262     0.5225    -0.8942     0.3816    -0.2341    -0.0294    -0.5718    -0.8199
 -103.6348    63.1106    13.1090    -0.4768    -0.7043     0.5260    -0.4610     0.7098     0.5326    -0.7484     0.0115    -0.6631
 -104.0720    62.4796    13.6004    -0.4771    -0.6805     0.5562     0.3149     0.4585     0.8311    -0.8205     0.5716    -0.0045
 -104.4969    61.8663    14.1298    -0.4469    -0.6614     0.6024     0.6474     0.2256     0.7280    -0.6174     0.7153     0.3273
